name,website,category,country,founded,product_count,product_count_method,has_physical_or_retailer_signal,has_linkedin_presence,has_careers_page,has_linkedin_or_careers,linkedin_evidence,careers_page,ships_international,linkedin_employees,hiring_manager_on_linkedin,social_media,legitimacy_notes,inclusion_confidence,data_confidence,meets_strict_criteria
Maebe,https://maebe.co.uk,Clothing,UK,2024-2025,171,shopify_products.json pages=1,No,Yes,No,Yes,hiring_manager_on_linkedin=Yes,Unknown,Unknown,Unknown,Yes,Unknown,Molly-Mae Hague brand (Drapers 2025),medium,medium,Partial
Mars the Label,https://marsthelabel.com,Clothing,UK,Unknown,1212,shopify_products.json pages=5,No,Yes,No,Yes,hiring_manager_on_linkedin=Yes,Unknown,Unknown,Unknown,Yes,Unknown,Arianna Ajtar; Drapers 30U30 2025,medium,medium,Unknown
Mowalola,https://mowalola.com,Clothing,UK,2017,96,shopify_products.json pages=1,No,Yes,No,Yes,hiring_manager_on_linkedin=Yes,Unknown,Unknown,Unknown,Yes,IG @mowalola,London designer,medium,medium,No
Odd Muse,https://oddmuse.co.uk,Clothing,UK,2020,249,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=35; hiring_manager_on_linkedin=Yes,Unknown,Yes,35,Yes,IG @oddmuse,Aimee Smale founder; Drapers; Founder Aimee Smale; London luxury womenswear,medium,medium,Partial
Pippa of London,https://pippaoflondon.co.uk,Beauty,UK,2017,171,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=16; hiring_manager_on_linkedin=Yes; LI company/pippaoflondon,Unknown,Yes,16,Yes,LI company/pippaoflondon,Makeup; LI 16 employees,medium,medium,No
RELR,https://relr.co.uk,Clothing,UK,2021,84,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=3; hiring_manager_on_linkedin=Yes; LI company/elr-style,None found,Yes,3,Yes,LI company/elr-style,CH 13296537 Active,medium,high,No
Rhea.,https://rheastore.co,Clothing,Netherlands,2024,218,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=5; hiring_manager_on_linkedin=Yes; LI company/rheastore,None found,Partial,5,Yes,IG @rheastore.official; LI company/rheastore,NL warehouse; ships most intl except UK/US/Asia/AU,medium,high,Yes
saint sass,https://saintsass.com,Clothing,Germany,2021,167,shopify_products.json pages=1,No,Yes,Yes,Yes,linkedin_employees=15; hiring_manager_on_linkedin=Yes,https://join.com/companies/saintsass,Yes,15,Yes,IG @saintsass,Berlin DTC; $4.9M seed reported,medium,high,Yes
This is Beauty,https://thisisbeauty.com,Beauty,UK,2020,5000,shopify_products.json capped_at_5000,No,Yes,No,Yes,linkedin_employees=6; LI company/thisisbeauty,Unknown,Yes,6,Unknown,LI company/thisisbeauty,Imperfect beauty retailer Oxford,medium,medium,No
Tortue UK,https://tortue.uk,Clothing,UK,2022,100,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=10; hiring_manager_on_linkedin=Yes; LI company/tortue-uk,None found,No,10,Yes,IG @tortue.uk; LI company/tortue-uk,CH 14226750 Active; UK distributor Captain Tortue,medium,high,Yes
Weartwo,https://weartwo.co.uk,Clothing,UK,2022,68,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=Under 10; hiring_manager_on_linkedin=Yes,None found,Unknown,Under 10,Yes,IG @weartwo_london,CH 14207765 Active,medium,high,Partial
Your KAYA,https://yourkaya.pl,Beauty,Poland,2017,250,shopify_products.json capped_at_5000,No,Yes,No,Yes,linkedin_employees=~40,Unknown,Partial,~40,Unknown,Instagram @yourkaya,Warsaw DTC intimate care/skincare.,medium,medium,No
